Empreendimento,Tipo de Geração,Potência Outorgada (kW),Latitude,Longitude,DscMuninicpios
Campina Grande,UTE,169080.0,"-7,23073189","-35,88997900",Campina Grande - PB
Curemas,PCH,3520.0,"-7,02335186","-37,94816502",Coremas - PB
Japungu,UTE,28800.0,"-6,98690966","-35,01433455",Santa Rita - PB
Giasa II,UTE,30000.0,"-7,35327785","-35,02966974",Pedras de Fogo - PB
Millennium,EOL,10200.0,"-6,49388892","-34,97194437",Mataraca - PB
Vitória,EOL,4500.0,"-6,55729634","-35,01469355",Mataraca - PB
Presidente,EOL,4800.0,"-6,57467434","-34,97603911",Mataraca - PB
Camurim,EOL,4800.0,"-6,55759639","-34,97205771",Mataraca - PB
Albatroz,EOL,4800.0,"-6,54751670","-34,96801217",Mataraca - PB
Coelhos I,EOL,4800.0,"-6,57579657","-34,97181492",Mataraca - PB
Coelhos III,EOL,4800.0,"-6,55658984","-34,96642989",Mataraca - PB
Atlântica,EOL,4800.0,"-6,54736604","-34,97371060",Mataraca - PB
Caravela,EOL,4800.0,"-6,55597563","-34,96904259",Mataraca - PB
Coelhos II,EOL,4800.0,"-6,57010979","-34,96736854",Mataraca - PB
Coelhos IV,EOL,4800.0,"-6,58140798","-34,97465157",Mataraca - PB
Mataraca,EOL,4800.0,"-6,58225475","-34,97846188",Mataraca - PB
Aeroporto Internacional Presidente Castro Pinto,UTE,616.0,"-7,14718849","-34,95042855",Bayeux - PB
Termoparaíba,UTE,170852.0,"-7,20957357","-34,92295892",João Pessoa - PB
Termonordeste,UTE,170852.0,"-7,16140967","-34,86031455",João Pessoa - PB
AMBEV - João Pessoa,UTE,1350.0,"-7,18791232","-34,91464510",João Pessoa - PB
Tabu,UTE,12200.0,"-7,50838722","-34,87588028",Caaporã - PB
Coremas I,UFV,27000.0,"-6,95673176","-37,99779730",Coremas - PB
Coremas III,UFV,27000.0,"-6,94721750","-37,99384389",Coremas - PB
Ophbras Produtos Oftalmicos,UTE,800.0,"-7,16872222","-34,89900000",João Pessoa - PB
Coremas IV,UFV,27000.0,"-6,95712028","-37,98965195",Coremas - PB
Coremas VI,UFV,27000.0,"-6,94947362","-37,98305888",Pombal - PB
Coremas VII,UFV,27000.0,"-6,94808250","-37,99598667",Coremas - PB
Coremas V,UFV,27000.0,"-6,95228722","-37,99598027",Coremas - PB
Coremas II,UFV,27000.0,"-6,96295389","-38,00186638",Coremas - PB
Canoas,EOL,31500.0,"-6,88335057","-36,76373695",São José do Sabugi - PB
Lagoa 1,EOL,31500.0,"-6,87904067","-36,81843069",Santa Luzia - PB
Lagoa 2,EOL,31500.0,"-6,84091341","-36,79106777",São José do Sabugi - PB
Angico I,UFV,27200.0,"-6,91704135","-37,56017362",Condado - PB
Malta,UFV,27200.0,"-6,90975366","-37,56014221",Malta - PB
Chafariz 1,EOL,34650.0,"-6,97288508","-36,87927525",Santa Luzia - PB
Chafariz 2,EOL,34650.0,"-6,99685254","-36,89395118",Santa Luzia - PB
Chafariz 3,EOL,34650.0,"-7,00159723","-36,89827901",Santa Luzia - PB
